DisNo.,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Latitude,Longitude,Annual Storm Count,Annual Disaster Count,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1980-0029-REU,Natural,Meteorological,Storm,Tropical cyclone,Hyacinthe,Réunion,Sub-Saharan Africa,Africa,,,,Kph,,,36,36,,1980,1,27,1980,1,27,25,,7000,,7000,,,,,67000,255037,26.27072272,,4/3/08,9/25/23
1980-0036-FJI,Natural,Meteorological,Storm,Tropical cyclone,Wally,Fiji,Melanesia,Oceania,"Vanua Levu, Viti Levu",,,Kph,,,,36,,1980,3,24,1980,3,24,18,250,28000,7000,35250,,,,,2256,8588,26.27072272,,7/1/03,9/25/23
1980-0038-BGD,Natural,Meteorological,Storm,Tropical cyclone,,Bangladesh,Southern Asia,Asia,,,,Kph,,,,36,,1980,4,,1980,4,,11,50,1000,,1050,,,,,,,26.27072272,,7/1/03,9/25/23
1980-0044-IND,Natural,Meteorological,Storm,Sand/Dust storm,,India,Southern Asia,Asia,Uttar Pradesh,,,Kph,,,,36,,1980,5,9,1980,5,9,125,,,,,,,,,,,26.27072272,,7/1/03,9/25/23
1980-0052-PAK,Natural,Meteorological,Storm,Lightning/Thunderstorms,,Pakistan,Southern Asia,Asia,Northern,,,Kph,,,,36,,1980,6,13,1980,6,13,18,23,,,23,,,,,,,26.27072272,,7/1/03,9/25/23
1980-0054-BRA,Natural,Meteorological,Storm,Tornado,,Brazil,Latin America and the Caribbean,Americas,Irati town,,,Kph,,,,36,,1980,6,25,1980,6,25,15,48,,,48,,,,,,,26.27072272,,7/1/03,9/25/23
1980-0059-KOR,Natural,Meteorological,Storm,Tropical cyclone,,Republic of Korea,Eastern Asia,Asia,Central,,,Kph,,,,36,,1980,7,,1980,7,,150,,20000,,20000,,,,,,,26.27072272,,7/1/03,9/25/23
1980-0067-PHL,Natural,Meteorological,Storm,Tropical cyclone,Joe,Philippines,South-eastern Asia,Asia,Northern,,,Kph,,,,36,,1980,7,21,1980,7,21,31,,300000,300000,600000,,,,,15400,58620,26.27072272,,7/1/03,9/25/23
1980-0068-VNM,Natural,Meteorological,Storm,Tropical cyclone,Joe (n°4),Viet Nam,South-eastern Asia,Asia,"Ha Bac, Hai Phong, Hai Hung, Guang Ninh provinces",,,Kph,,,,36,,1980,7,23,1980,7,23,132,210,6460000,164500,6624710,,,,,,,26.27072272,,7/1/03,9/25/23
1980-0069-CHN,Natural,Meteorological,Storm,Tropical cyclone,Joe,China,Eastern Asia,Asia,Guandong province,,,Kph,,,,36,,1980,7,24,1980,7,24,188,,,100,100,,,,,,,26.27072272,,7/1/03,9/25/23
1980-0070-PHL,Natural,Meteorological,Storm,Tropical cyclone,Kim,Philippines,South-eastern Asia,Asia,Cagayan Valley (Northwestern),,,Kph,,,,36,,1980,7,25,1980,7,25,40,,190000,,190000,,,,,,,26.27072272,,7/1/03,9/25/23
1980-0076-LCA,Natural,Meteorological,Storm,Tropical cyclone,Allen,Saint Lucia,Latin America and the Caribbean,Americas,,,270,Kph,,,,36,,1980,7,31,1980,8,11,9,,70000,10000,80000,,,,,87990,334936,26.27072272,,12/23/05,9/25/23
1980-0077-VCT,Natural,Meteorological,Storm,Tropical cyclone,,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,,,,Kph,,,,36,,1980,7,31,1980,8,11,0,,20000,500,20500,,,,,16300,62046,26.27072272,,12/23/05,9/25/23
